"ALBAYRAK SUNİ ÇİM SAHASI","26 Aralık 2015 Cumartes","09:00 ","ALBAYRAK - İSTANBUL BARIŞSPOR ","U-16 ","24.GRUP ","SERHAN ZEYBEL","AHMET KARADAĞ","ADEM ARĞIN"
"ALBAYRAK SUNİ ÇİM SAHASI","26 Aralık 2015 Cumartes","10:45 ","DAMLASPOR - MERTER ","U-14 ","29.GRUP ","İSLAM TUĞRUL YILDIRIM",NULL,NULL
"ALBAYRAK SUNİ ÇİM SAHASI","26 Aralık 2015 Cumartes","12:30 ","ESENLER - POLİGON FETHİYE ","U-16 ","6.GRUP ","SERVET ÖLEKLİ","İSLAM TUĞRUL YILDIRIM","YÜŞA BÜLENT KISABOY"
"ALİBEYKÖY PARSELLER SAHASI","26 Aralık 2015 Cumartes","10:45 ","A.PARSELLER - BEŞTELSİZ ","U-14 ","25.GRUP ","MEHMET CAN AKTAŞ",NULL,NULL
"ALİBEYKÖY PARSELLER SAHASI","26 Aralık 2015 Cumartes","12:30 ","EYÜP ÇIRÇIR İMAR - KÜÇÜKÇEKMECE ","U-16 ","18.GRUP ","OSMAN YILDIZ","MEHMET CAN AKTAŞ","HALİL İBRAHİM KİBİROĞLU"
"ALİBEYKÖY PARSELLER SAHASI","26 Aralık 2015 Cumartes","14:30 ","ÇAYIRGÜCÜ - KEMERBURGAZ ","U-14 ","7.GRUP ","HALİL İBRAHİM KİBİROĞLU",NULL,NULL
"ALİBEYKÖY STADI","26 Aralık 2015 Cumartes","10:00 ","GÜZELTEPE - ASLANTEPE ","U-16 ","18.GRUP ","ANIL FISTIKÇI","HALİL İBRAHİM ÜNAL","MUSTAFA BOZ"
"ALİBEYKÖY STADI","26 Aralık 2015 Cumartes","12:00 ","BEŞİKTAŞ A.Ş. - KASIMPAŞA ","CC.U1","Coca-Cola U1","BAHADIR YILMAZ","FARUK IŞIK","HÜSNÜ YELKEN"
"ALİBEYKÖY STADI","26 Aralık 2015 Cumartes","14:30 ","A.PARSELLER - OKSPOR ","S.AL.","7.GRUP ","MURAT MADAN","HÜSEYİN CEYLAN","AHMET GÖKHAN AKDENİZ"
"AVCILAR BELEDİYE (FİRUZKÖY) STADI","26 Aralık 2015 Cumartes","09:00 ","AVCILAR YEŞİLKENT - Y.S.SELİM ","U-14 ","27.GRUP ","MURAT ÇEBİ",NULL,NULL
